date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-12-11,-10.4,-12.65,-13.5,-16.6,,-23,90,82.1,83,76,-12,-15.1,-14.8,-17.6,23,16.5,16,9,,,102.02,101.79,101.84,101.66,98.94,98.72,98.76,98.59,24100,14187.5,12650,1200,2.5,2.2,2.1,1.7,31.5,0,0,0,0,1.8,,,5,08:16:00,1765462560,8.27,16:27:00,1765492020,16.45,8.18,,,-11,-11,-18,-18,5,,,,,8,7.2,6,4,,,,
2025-12-10,-9.1,-13.59,-14.35,-19.6,,-25,89,81.5,80,71,-10.9,-16.1,-15.8,-20.6,32,17.71,16,0,41,32,102.18,101.92,101.72,101.27,99.1,98.86,98.67,98.25,24100,17412.5,12550,1000,2.3,1.6,1.8,1.4,32.4,0,0,0,0,0.7,,,5,08:15:00,1765376100,8.25,16:27:00,1765405620,16.45,8.2,,,-12,-11,-19,-17,7,,,,,8,7.3,7,6,,,,
2025-12-09,-8,-9.96,-11.7,-15.4,,-19,92,89,88.5,85,-9.5,-11.5,-12.6,-15.6,27,17,16,5,31,5,101.16,100.42,100.53,99.9,98.14,97.41,97.53,96.91,22500,8241.7,12450,2400,3,2.2,2.4,1.7,29.7,0,0,0,0,1.2,,,1,08:14:00,1765289640,8.23,16:27:00,1765319220,16.45,8.22,,,-7,-7,-13,-11,4,,,,,8,7.3,6,4,,,,
2025-12-08,-9.7,-12.64,-13.25,-16.8,,-26,94,84.4,82,70,-11.4,-14.8,-15.4,-19.4,28,16.54,14,0,31,18,102.56,101.61,101.74,100.92,99.45,98.54,98.67,97.89,24100,13458.3,13650,3200,2.7,2,2.1,1.6,31.2,0,0,0,0,0.9,,,0,08:13:00,1765203180,8.22,16:27:00,1765232820,16.45,8.23,,,-11,-11,-16,-16,4,,,,,8,7.9,7,6,,,,
2025-12-07,-15.6,-20.95,-21.2,-26.8,,-36,79,74.1,70,61,-19.4,-24.5,-24.4,-29.5,19,10.33,9.5,0,33,16,103.25,102.98,102.94,102.62,100.08,99.82,99.79,99.5,24100,24100,24100,24100,2.5,2.2,2.2,2,39.2,0,0,0,0,0,,,0,08:12:00,1765116720,8.2,16:28:00,1765146480,16.47,8.27,,,-16,-16,-16,-16,9,,,,,8,3.6,4,0,,,,
2025-12-06,-17.4,-21.7,-21.4,-25.4,,-34,81,76,73,65,-21.9,-24.9,-24.4,-27,26,13.71,15,4,,,102.71,102.04,102.06,101.41,99.55,98.92,98.95,98.35,24100,23900,21700,19300,2,1.8,1.8,1.7,39.4,0,0,0,0,0,,,0,08:11:00,1765030260,8.18,16:28:00,1765060080,16.47,8.28,,,-17,-17,-29,-28,8,,,,,5,1.6,2.5,0,,,,
2025-12-05,-9.1,-13.75,-13.95,-18.8,,-25,87,79.1,76,65,-11.5,-16.7,-16.6,-21.8,35,15.54,21,7,41,34,101.38,101.06,101.13,100.89,98.32,98.02,98.1,97.88,24100,18208.3,12450,800,2.3,2,2,1.7,31.9,0,0,0,0,0.1,,,,08:10:00,1764943800,8.17,16:28:00,1764973680,16.47,8.3,,,-9,-9,-23,-21,3,,,,,8,5.7,4.5,1,,,,
2025-12-04,-4.7,-12.55,-12.8,-20.9,,-31,94,82.7,83.5,73,-5.7,-14.9,-14.8,-23.8,44,24.75,28.5,13,48,18,102.58,101.12,101.48,100.37,99.45,98.06,98.4,97.36,24100,13995.8,13250,2400,2.4,2,2,1.6,30.8,0,0,0,0,0.2,,,,08:08:00,1764857280,8.13,16:29:00,1764887340,16.48,8.35,,,-7,-7,-13,-13,4,,,,,8,5.1,4,0,,,,
2025-12-03,-14.8,-18.9,-19,-23.2,,-32,83,72.2,72,61,-19.3,-22.8,-22.4,-25.4,33,19.17,21.5,10,34,33,103,102.7,102.54,102.09,99.84,99.58,99.43,99.02,24100,23033.3,20100,16100,2.6,1.9,2.1,1.6,37,0,0,0,0,0,,,,08:07:00,1764770820,8.12,16:29:00,1764800940,16.48,8.37,,,-16,-16,-22,-19,10,,,,,4,0.7,2,0,,,,
2025-12-02,-7.7,-11.12,-11.25,-14.8,,-26,85,79,76.5,68,-10.3,-14.1,-14.7,-19.1,41,22.08,24,7,48,33,101.98,100.91,101.21,100.44,98.92,97.88,98.17,97.41,24100,14037.5,12850,1600,4,2.3,2.8,1.6,29.2,0,0,0,0,0.3,,,,08:06:00,1764684360,8.1,16:30:00,1764714600,16.5,8.4,,,-10,-10,-19,-19,5,,,,,8,7.6,7,6,,,,
2025-12-01,-11.3,-14.44,-13.95,-16.6,,-26,86,79.4,77.5,69,-16,-17.3,-17.4,-18.8,28,15.21,17.5,7,35,21,102.48,101.75,101.81,101.14,99.4,98.68,98.74,98.09,24100,23033.3,20100,16100,3,2.1,2.3,1.6,31.9,0,0,0,0,0,,,,08:05:00,1764597900,8.08,16:30:00,1764628200,16.5,8.42,,,-11,-11,-19,-16,8,,,,,8,4.2,4,0,,,,
